author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Alpha Star Properties,real_estate_agent,https://www.cian.ru/sale/flat/315745436/,Москва,sale,flat,25,61,1,60.0,-1,0,75000000,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/313640113/,Москва,sale,flat,6,41,1,40.1,-1,0,35500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317367449/,Москва,sale,flat,1,9,1,32.4,-1,0,7900000,Орехово-Борисово Северное,Домодедовская ,1К1,Домодедовская,
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/314672030/,Москва,sale,flat,14,16,1,40.0,-1,0,12700000,Марьино,Новомарьинская ,16К1,Братиславская,
ID 13184731,realtor,https://www.cian.ru/sale/flat/317113543/,Москва,sale,flat,15,17,1,39.0,-1,0,14600000,Братеево,Ключевая ,12К1,Алма-Атинская,
Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317551490/,Москва,sale,flat,9,12,1,34.9,-1,0,12000000,Басманный,Плетешковский переулок,18-20к2,Бауманская,
ID 10345338,realtor,https://www.cian.ru/sale/flat/314794936/,Москва,sale,flat,8,15,1,35.0,-1,0,11900000,Коньково,Профсоюзная ,69,Беляево,Дом на Профсоюзной 69
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/317021340/,Москва,sale,flat,11,41,1,48.0,-1,0,44900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Юрий Зайцев,realtor,https://www.cian.ru/sale/flat/317365049/,Москва,sale,flat,6,9,1,33.0,-1,0,9990000,Ивановское, Молостовых,12,Новогиреево,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,57.7,-1,0,75000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/314845571/,Москва,sale,flat,2,5,1,41.0,-1,0,21500000,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
ID 10433092,homeowner,https://www.cian.ru/sale/flat/317370790/,Москва,sale,flat,6,15,1,37.6,-1,0,14700000,Чертаново Северное,Северное Чертаново мкр,2к203,Чертановская,
